SA2 name,Population density 2020
Merrylands - Holroyd,4799.7
Smithfield Industrial,2.6
Yennora Industrial,6.7
North Parramatta,3530.3
North Rocks,1576.6
Northmead,3766.1
Parramatta - Rosehill,4087.8
Toongabbie - Constitution Hill,3118.7
Winston Hills,2618.3
Pendle Hill - Girraween,3175.4
Wentworthville - Westmead,4664.1
Epping - North Epping,3630.6
Pennant Hills - Cheltenham,1661.7
Eastwood - Denistone,3532.7
Gladesville - Huntleys Point,3362
Hunters Hill - Woolwich,2643.8
Macquarie Park - Marsfield,2360.6
North Ryde - East Ryde,2315.9
West Ryde - Meadowbank,4595.7
Putney,2784.7
Ryde,4521.5
Ashcroft - Busby - Miller,3354.4
Austral - Greendale,89.9
Cobbitty - Leppington,280.3
Badgerys Creek,3.5
Cecil Hills,1929.1
Green Valley,4076.8
Hinchinbrook,2641.1
Hoxton Park - Carnes Hill - Horningsea Park,3288.8
West Hoxton - Middleton Grange,1899
Bonnyrigg Heights - Bonnyrigg,3261.9
Bossley Park - Abbotsbury,2075
Cabramatta - Lansvale,3392.1
Cabramatta West - Mount Pritchard,3452.4
Canley Vale - Canley Heights,4062.7
Edensor Park,3299
Fairfield,4527
Fairfield - West,4432.7
Greenfield Park - Prairiewood,2425.6
Horsley Park - Kemps Creek,83.2
Smithfield - Wetherill Park,2897.8
St Johns Park - Wakeley,3099.1
Wetherill Park Industrial,4.2
Casula,2415.8
Chipping Norton - Moorebank,1473.3
Holsworthy - Wattle Grove,297.3
Liverpool,5139.4
Lurnea - Cartwright,3647.5
Prestons - Edmondson Park,1595.8
Warwick Farm,1458.6
Gymea - Grays Point,3185.5
Miranda - Yowie Bay,3297.4
Sylvania - Taren Point,2851.9
Caringbah,3290.5
Caringbah South,3195.9
Cronulla - Kurnell - Bundeena,1026.8
Lilli Pilli - Port Hacking - Dolans Bay,2575.2
Woolaware - Burraneer,2589.1
Heathcote - Waterfall,242.6
Illawong - Alfords Point,1452.5
Menai - Lucas Heights - Woronora,649
Oyster Bay - Como - Jannali,2499.6
Royal National Park,0.2
Sutherland - Kirrawee,2936.2
Engadine,1963.2
Loftus - Yarrawarrah,1937
Woronora Heights,1121
Alfredton,285.3
Ballarat,977.4
Ballarat - North,266.5
Ballarat - South,780.7
Buninyong,149.7
Delacombe,270.4
Smythes Creek,39.3
Wendouree - Miners Rest,224.5
Bacchus Marsh Region,6.1
Creswick - Clunes,9.5
Daylesford,10.2
Gordon (Vic.),7.1
Avoca,2
Beaufort,2.5
Golden Plains - North,5.4
Maryborough (Vic.),175.8
Maryborough Region,3.3
Bendigo,920.4
California Gully - Eaglehawk,401.1
East Bendigo - Kennington,800.1
Flora Hill - Spring Gully,744.8
Kangaroo Flat - Golden Square,507
Maiden Gully,130.1
Strathfieldsaye,183.1
White Hills - Ascot,211.4
Bendigo Region - South,10.2
Castlemaine,135.2
Castlemaine Region,5.9
Heathcote,6.3
Kyneton,18.6
Woodend,35.9
Bendigo Region - North,3.2
Loddon,1.1
Bannockburn,39.5
Golden Plains - South,5.1
Winchelsea,6.7
Belmont,1583
Corio - Norlane,341.8
Geelong,1075.2
Geelong West - Hamlyn Heights,664
Grovedale,566.9
Highton,588.1
Lara,35.6
Leopold,498.4
Newcomb - Moolap,348.5
Newtown (Vic.),1884.5
North Geelong - Bell Park,718.4
Clifton Springs,244.2
Lorne - Anglesea,12.5
Ocean Grove - Barwon Heads,187.2
Portarlington,118.9
Point Lonsdale - Queenscliff,77
Torquay,180.3
Alexandra,3.1
Euroa,3.2
Kilmore - Broadford,34.3
Mansfield (Vic.),2.5
Nagambie,3.4
Seymour,81.2
Seymour Region,2.6
Upper Yarra Valley,0.2
Yea,2.6
Benalla,33.3
Benalla Region,1.8
Rutherglen,8.5
Wangaratta,337.6
Wangaratta Region,2.7
Beechworth,13.2
Bright - Mount Beauty,2
Chiltern - Indigo Valley,6.2
Myrtleford,8.7
Towong,0.9
West Wodonga,101.1
Wodonga,97.2
Yackandandah,6.7
Drouin,58.8
Mount Baw Baw Region,2.2
Trafalgar (Vic.),16.2
Warragul,60.8
Alps - East,0
Bairnsdale,100.6
Bruthen - Omeo,1.1
Lake King,0
Lakes Entrance,49.4
Orbost,0.6
Paynesville,16.5
Foster,6.2
French Island,0.7
Korumburra,16.2
Leongatha,14.3
Phillip Island,120.5
Wilsons Promontory,0
Wonthaggi - Inverloch,34.4
Churchill,14.7
Moe - Newborough,160
Morwell,163.8
Traralgon,190
Yallourn North - Glengarry,13.9
Alps - West,0
Longford - Loch Sport,2.8
Maffra,5.7
Rosedale,4.9
Sale,335.6
Yarram,2.8
Brunswick,5932.1
Brunswick East,6675.7
Brunswick West,4995.4
Coburg,4248.7
Pascoe Vale South,3722.4
Alphington - Fairfield,3542.1
Northcote,4595.9
Thornbury,4128.9
Ascot Vale,4358.9
Essendon - Aberfeldie,3716.5
Flemington,7193.2
Moonee Ponds,3780.6
Carlton,14116
Docklands,6466
East Melbourne,2088.1
Flemington Racecourse,53.2
Kensington (Vic.),5674.4
Melbourne,22448.3
North Melbourne,8536.6
Parkville,2158.7
South Yarra - West,4594.4
Southbank,8926.9
West Melbourne,0.5
Albert Park,3836.8
Elwood,6533.5
Port Melbourne,6454.1
Port Melbourne Industrial,99.7
South Melbourne,5485.8
St Kilda,7888.2
St Kilda East,7751.8
Armadale,4828
Prahran - Windsor,7708.1
South Yarra - East,10050.1
Toorak,3313.4
Abbotsford,5943.1
Carlton North - Princes Hill,4024.8
Collingwood,9098.7
Fitzroy,8654.6
Fitzroy North,5627.7
Richmond (Vic.),5835.3
Yarra - North,2007.7
Ashburton (Vic.),2928.5
Balwyn,3046.7
Balwyn North,2462.4
Camberwell,3158.7
Glen Iris - East,3095.2
Hawthorn,4642.5
Hawthorn East,4567.2
Kew,2570.2
Kew East,1753.7
Surrey Hills (West) - Canterbury,3029.7
Bulleen,1789.2
Doncaster,2906.5
Templestowe,1096.3
Templestowe Lower,2464.6
Doncaster East (North),2481.1
Doncaster East (South),3356.7
Blackburn,2746.4
Blackburn South,3200
Box Hill,3420
Box Hill North,3142.7
Burwood,2994.1
Burwood East,2628.4
Surrey Hills (East) - Mont Albert,3192.7
Beaumaris,2501.3
Brighton (Vic.),3050.9
Brighton East,3022.7
Cheltenham - Highett (West),2365.9
Hampton,3443.9
Sandringham - Black Rock,2874
Bentleigh - McKinnon,4062
Carnegie,5484.3
Caulfield - North,3718.1
Caulfield - South,3982.8
Elsternwick,4470.9
Hughesdale,4265
Murrumbeena,4008.3
